status,crn,type,section, tme,day, location,instructor
-------------------------------------------------------------------------------------
Course  : Description
CS 412  : Introduction to Data Mining
 section closed 43357 Lecture-Discussion P3  11:00AM - 12:15PM TR      1404 Siebel Center for Comp Sci Han, J
 section closed 43358 Lecture-Discussion P4  11:00AM - 12:15PM TR      1404 Siebel Center for Comp Sci Han, J
-------------------------------------------------------------------------------------
CS 413  : Intro to Combinatorics
 section closed 63192 Lecture-Discussion D13 11:00AM - 11:50AM MWF     245 Altgeld Hall Yong, A
 section closed 63193 Lecture-Discussion D14 11:00AM - 11:50AM MWF     245 Altgeld Hall Yong, A
-------------------------------------------------------------------------------------
CS 418  : Interactive Computer Graphics
 section closed 51480 Discussion/ Recitation AD1 11:00AM - 11:50AM W       1111 Siebel Center for Comp Sci Shaffer, E
 1. section open 51481 Discussion/ Recitation AD2 12:00PM - 12:50PM W       1111 Siebel Center for Comp Sci Shaffer, E
 section closed 51482 Discussion/ Recitation AD3 01:00PM - 01:50PM W       1111 Siebel Center for Comp Sci Shaffer, E
 section closed 55233 Discussion/ Recitation AD4 02:00PM - 02:50PM W       1111 Siebel Center for Comp Sci Shaffer, E
 1. section open 61175 Discussion/ Recitation AD5 03:00PM - 03:50PM W       1111 Siebel Center for Comp Sci Shaffer, E
 1. section open 65389 Discussion/ Recitation AD6 04:00PM - 04:50PM W       1111 Siebel Center for Comp Sci Shaffer, E
 section restricted 36119 Lecture AL1 10:00AM - 10:50AM MWF     1404 Siebel Center for Comp Sci Shaffer, E
 section restricted 36121 Lecture AL2 10:00AM - 10:50AM MWF     1404 Siebel Center for Comp Sci Shaffer, E
 section restricted 67033 Online ONL ARRANGED n.a n.a Shaffer, E
-------------------------------------------------------------------------------------
CS 420  : Parallel Progrmg: Sci & Engrg
 section closed 53685 Lecture-Discussion D3  11:00AM - 12:15PM WF      0216 Siebel Center for Comp Sci Snir, M
 section closed 53686 Lecture-Discussion D4  11:00AM - 12:15PM WF      0216 Siebel Center for Comp Sci Snir, M
-------------------------------------------------------------------------------------
CS 421  : Progrmg Languages & Compilers
 section closed 30128 Lecture-Discussion D3  02:00PM - 03:15PM TR      1404 Siebel Center for Comp Sci Gunter, E
 section closed 40087 Lecture-Discussion D4  02:00PM - 03:15PM TR      1404 Siebel Center for Comp Sci Gunter, E
-------------------------------------------------------------------------------------
CS 424  : Real-Time Systems
 section restricted 51775 Lecture-Discussion P3  02:00PM - 03:15PM TR      1302 Siebel Center for Comp Sci Abdelzaher, T
 section restricted 51776 Lecture-Discussion P4  02:00PM - 03:15PM TR      1302 Siebel Center for Comp Sci Abdelzaher, T
-------------------------------------------------------------------------------------
CS 425  : Distributed Systems
 section restricted 62170 Online ONL ARRANGED n.a n.a Gupta, I
 section closed 36091 Lecture-Discussion P3  02:00PM - 03:15PM TR      1320 Digital Computer Laboratory Gupta, I
 section closed 57769 Lecture-Discussion P4  02:00PM - 03:15PM TR      1320 Digital Computer Laboratory Gupta, I
-------------------------------------------------------------------------------------
CS 426  : Compiler Construction
 section closed 43355 Lecture-Discussion N3  12:30PM - 01:45PM TR      1302 Siebel Center for Comp Sci Adve, V
 section closed 43356 Lecture-Discussion N4  12:30PM - 01:45PM TR      1302 Siebel Center for Comp Sci Adve, V
-------------------------------------------------------------------------------------
CS 427  : Software Engineering I
 section restricted 36104 Lecture-Discussion S3  12:30PM - 01:45PM TR      1404 Siebel Center for Comp Sci Rosu, G
 section restricted 36107 Lecture-Discussion S4  12:30PM - 01:45PM TR      1404 Siebel Center for Comp Sci Rosu, G
-------------------------------------------------------------------------------------
CS 431  : Embedded Systems
 section closed 40100 Laboratory AB1 03:00PM - 04:50PM W       ARR Siebel Center for Comp Sci Caccamo, M
